AccountingFirm,Address,CPA.CharteredPublicAccountant.First,CPA.CharteredPublicAccountant.Second,Chairman,CompanyAbbreviation,CompanyName,Date,DateOfIncorporation,DateOfListing,DeputySpokesperson,EmailAddress,Fax,GeneralManager,IssueShares,Paidin.Capital.NTDollars,ParValueOfCommonStock,PreferredStock.shares,PreparationOfFinancialReportType,PrivateStock.shares,Registration,SecuritiesCompanyCode,SecuritiesIndustryCode,Spokesman,StockTransferAgent,StockTransferAgentAddress,StockTransferAgentTelephone,Symbol,Telephone,TitleOfSpokesman,UnifiedBusinessNo.,WebAddress
立本台灣聯合會計師事務所,"7F., No. 3, Sec. 5, Nanjing E. Rd., Songshan Dist.Taipei City 105409 , Taiwan (R.O.C.)",程建憲,鄧欣珊,胡德立,駿吉-KY,英屬開曼群島商駿吉控股(股)公司,1150904,20091119,20120323,田書祥,ky1591@inmax-fasteners.com,02-27602877,胡德立,38048047,380480470,新台幣                 10.0000元,0,1,3250000,KY 開曼群島                                                    ,1591,05,陳志德,元大證券股份有限公司股務代理部,106045臺北市大安區敦化南路2段67號地下一樓,02 2586-5859,INMAX,02-77097667,子公司董事長,53650116,http://inmaxholding.com/
勤業眾信聯合會計師事務所,"No. 231 , Dexing  Rd.HuKou Township , Hsinchu County,Taiwan",邱鏞銘,張至誼,李佳蓉,祺驊,祺驊股份有限公司,1150904,19970315,20120613,黃瓊慧,ir@chihua.com.tw,03-5906393,李佳蓉,39784772,397847720,新台幣                 10.0000元,0,1,0,－ ,1593,37,連子瑞,富邦綜合證券(股)公司股務代理部,台北市許昌街17號11樓,02-23611300,CHI HUA,03-6992860,執行副總經理,97432341,https://chihua.com.tw
勤業眾信聯合會計師事務所,"No.33, Ln. 277, Sec. 3, Changxing Rd., Luzhu Dist.,Taoyuan City 338, Taiwan",方蘇立,張至誼,張鴻明,川寶,川寶科技股份有限公司,1150904,19990219,20111004,張亦喬,spokesman@cbtech.com.tw,03-3249968,曾偉倫,56223352,562233520,新台幣                 10.0000元,0,1,2000000,－ ,1595,24,簡麗真,福邦證券股份有限公司,台北市中正區忠孝西路一段6號6樓,02-2383-6888,CBT,03-3249948,協理,16860440,http://www.cbtech.com.tw/
資誠聯合會計師事務所,"No.41,Nanzhou,Shanshang Dist.,Tainan City 74342,Taiwan(R.O.C.)",林秀珊,葉芳婷,鍾杰霖,宏佳騰,宏佳騰動力科技股份有限公司,1150904,20031225,20121225,胡春慧,aeon@aeontek-motor.com.tw,06-5783136,鍾杰霖,73028764,730287640,新台幣                 10.0000元,0,1,0,－ ,1599,05,林佳慧,統一綜合證券股份有限公司,臺北市松山區東興路8號B1,02-27463797,AEON,06-5783988,協理,80621419,www.aeontek-motor.com
安侯建業聯合會計師事務所,"3rd Floor, No. 610, Section 2, Zhongshan South Road, Dayuan DistrictTaoyuan City, Taiwan, R.O.C.",毛聖&#23895;,張淑瑩,陳霆瑞,台蠟,台灣蠟品股份有限公司,1150904,19870813,20040514,待聘任,twx6688@ms26.hinet.net,02-8751-9678,陳霆瑞,92671300,926713000,新台幣                 10.0000元,0,1,46057341,－ ,1742,21,曾柏堯,康和綜合證券股份有限公司,台北市信義區基隆路一段176號B1,02-87871118,TWC,02-8797-8678,財務副總經理,22625269,http://www.wax.com.tw/
資誠聯合會計師事務所,"No.168 Kai Yuan Rd., Hsin Ying DistrictTainan City 73055, Taiwan, R.O.C",葉芳婷,徐惠榆,蕭振明,生泰,生泰合成工業股份有限公司,1150904,19821109,20051019,莊美琪,fc3@syn-tech.com.tw,06-6351165,洪俊誠,44591713,445917130,新台幣                 10.0000元,0,2,0,－ ,1777,22,蕭振明,元大證券股份有限公司股務代理部,106臺北市大安區敦化南路2段67號地下一樓,(02)2586-5859,SYN-TECH,06-6362121~3,董事長,72197621,https://www.syn-tech.com.tw
資誠聯合會計師事務所,"13TH FL.,NO71 SEC.2 TUN-HWA SOUTH ROAD.TAIPEI.10682 TAIWAN, R.O.C",阮呂曼玉,林雅慧,楊正利,立弘,立弘生化科技股份有限公司,1150904,20011225,20260617,楊子萱,eyang@altratene.com,27030289,楊斌,109075173,1090751730,新台幣                 10.0000元,0,1,0,－ ,1780,02,楊幸慧,群益金鼎證券股份有限公司,台北市敦化南路二段97號B2,27023999,ABC,27030209,協理,12971536,www.altratene.com/tw
資誠聯合會計師事務所,"9F.NO.186 Jian Yi  Road Chung Ho CityTaipei,Taiwan",林瑟凱,周筱姿,楊國和,合世,合世生醫科技股份有限公司,1150904,19961216,20041224,沈瞬良,public@hlmt.com.tw,82271301,李紹弘,47407605,474076050,新台幣                 10.0000元,0,1,0,－ ,1781,22,李淑芬,富邦綜合證券股份有限公司,台北市中正區許昌街17號2樓,02-2361-1300,H&L,82271300,財務處副總,97304042,www.healthandlife.com.tw
資誠聯合會計師事務所,"1F,No.28, Ln. 36 , Xinhu 1st  Rd.Neihu Dist.,Taipei  City 11497, , Taiwan",黃珮娟,鄧聖偉,蔡政憲,訊聯,訊聯生物科技股份有限公司,1150904,20000817,20070726,楊志峰,investment@BionetCorp.com,(02)27938009,康清原,53121191,531211910,新台幣                 10.0000元,0,1,0,－ ,1784,22,康清原,中國信託商業銀行(股)公司代理部,台北市重慶南路一段83號5樓,(02)66365566,BIONET CORP.,(02)27951777,總經理,70836411,http://www.BionetCorp.com
勤業眾信聯合會計師事務所,"No.1, Gongye 3rd Rd., Annan Dist,Tainan City 70955, Taiwan (R.O.C.)",楊朝欽,李季珍,鄭憲松,光洋科,光洋應用材料科技股份有限公司,1150904,19780829,20050131,顏英哲,shareholders@solartech.com.tw,06-3843216,&#40644;&#21843;峰,595980243,5959802430,新台幣                 10.0000元,0,1,0,－ ,1785,31,&#40644;&#21843;峰,永豐金證券股份有限公司,台北市中正區博愛路17號3樓,02-23816288,Solar,06-5110123,總經理,43787872,http://www.solartech.com.tw/tw/index.html
安侯建業聯合會計師事務所,"8F.2,NO.2,Ln.609,Sec.5,Chongxin Rd.,Sanchong Dist.,New Taipei City 24159,TaiwaR.O.C.",楊樹芝,洪士剛,李忠良,杏昌,杏昌生技股份有限公司,1150904,19890213,20090720,張耀元,jerry_pon108@hiclearance.com.tw,2995-3363,陳國師,44520971,445209710,新台幣                 10.0000元,0,1,0,－ ,1788,22,李映芬,台新綜合證券(股)公司股務代理部,台北市中山區建國北路1段96號地下1樓,02-25048125,HCI,6626-1166,管理處副總經理,23161816,www.hiclearance.com.tw
資誠聯合會計師事務所,"No.33,Shin-Kung RdShinying City,Tainan County,Taiwan",徐惠榆,林秀珊,張曉莉,金穎生技,金穎生物科技股份有限公司,1150904,19990717,20180122,金晉德,geneferm@geneferm.com,06-5055750,金晉德,41459793,414597930,新台幣                 10.0000元,0,1,0,－ ,1796,02,蕭興義,兆豐證券股份有限公司,台北市忠孝東路二段95號1樓,(02)33930898,GeneFerm,06-5109001,副總經理,16962158,http://www.geneferm.com
資誠聯合會計師事務所,"1F., No.10, Yanfa 2nd Road, Hsinchu Science ParkHsinChu 30076, TAIWAN(R.O.C)",劉倩瑜,蔡欣怡,林翰飛,易威,易威生醫科技股份有限公司,1150904,19980810,20081110,洪筠,spokesman@easywellbio.com,(03)666-9697,李艾平,248775894,2487758940,新台幣                 10.0000元,0,1,77002580,－ ,1799,22,吳雪君,宏遠證券股份有限公司股務代理部,臺北市大安區信義路四段236號3樓,(02)2326-8818,EASYWELL,(03)666-9596,財務協理,16570131,http://www.easywellbio.com
勤業眾信聯合會計師事務所,"No. 406, Changfa Rd., Dayuan Dist.Taoyuan City 33759, Taiwan R.O.C.",趙永祥,陳彥君,宋一新,寶利徠,寶利徠光學科技股份有限公司,1150904,19930922,20090804,陸芸平,info@gialens.com.tw,03-3863837,倪鏡如,46635510,466355100,新台幣                 10.0000元,0,1,0,－ ,1813,22,倪鏡如,群益金鼎證券股份有限公司,台北市松山區敦化南路二段97號B2,02-27023999,Polylite,03-3853934,總經理,84449952,http://www.gialens.com.tw　
勤業眾信聯合會計師事務所,"NO8.Dou Kong 16 RoadDou Leu City,Taiwan.",劉建良,王儀雯,張元賓,富喬,富喬工業股份有限公司,1150904,19990114,20060123,黃少梅,fulltech@ffg.com.tw,02-27357698,張晉碩,585459487,5854594870,新台幣                 10.0000元,0,1,0,－ ,1815,28,胡銘倫,富喬工業股份有限公司股務室,台北市敦化南路二段九十八號十二樓,02-2705-1333,FFG,02-27357658,協理,16834268,http://www.ffg.com.tw
安侯建業會計師事務所,"No.4,  Yen Hai 2nd Rd., Hsiao Kang .,Kaohsiung City,Taiwan ROC",黃欣婷,韓沂璉,趙健在,唐榮公司,唐榮鐵工廠股份有限公司,1150904,19400501,20060707,林郁,teweb@mail.tangeng.com.tw,07-8010801,周明宏,350000000,3500000000,新台幣                 10.0000元,0,2,0,－ ,2035,10,劉岳前,群益金鼎證券股份有限公司,台北市敦化南路2段97號地下2樓,02-2702-3999,TE　　,07-8022811,管理部門副總經理,75460005,http://www.tangeng.com.tw
資誠聯合會計師事務所,"30F.-4, No. 38, Xinguang Rd., Lingya Dist.,Kaohsiung City 802, Taiwan (R.O.C.)",吳建志,王駿凱,陳信宇,風青,風青實業股份有限公司,1150904,19940910,20101209,王文英,r7873942@ms23.hinet.net,07-2693515,陳信宇,57378052,573780520,新台幣                 10.0000元,0,1,0,－ ,2061,06,蔡玉賢,中國信託商業銀行代理部,台北市重慶南路一段83號5樓,02-66365566,FENG CHING,07-2693339,稽核主管,89260422,http://www.fcm.com.tw
勤業眾信聯合會計師事務所,"NO.1, Ben Gong 1st Rd., Ben Chou Industrial Park, Kangshan TownKaohsiung82059, Taiwan",許凱甯,劉承翰,杜泰源,世鎧精密,世鎧精密股份有限公司,1150904,19920428,20100907,張威健,roger@shehkai.com.tw,07-6230964,林上安,48101453,481014530,新台幣                 10.0000元,0,1,0,－ ,2063,10,鄭守傑,永豐金證券股份有限公司,10044台北市中正區博愛路17號3樓,02-23816288,SHEH KAI,07-6225669,副總經理,86637206,www.shehkai.com.tw
安侯建業聯合會計師事務所,"No.24, Lugong Rd., Chang Bin Industrial ParkLugang Town, Chang Hua County , Taiwan",吳仲舜,黃采絹,陳譽,晉椿,晉椿工業股份有限公司,1150904,19710510,20141226,黃俊勳,cametal.taiwan@msa.hinet.net,04-7810099,蕭良賢,69330000,693300000,新台幣                 10.0000元,0,1,0,－ ,2064,10,陳譽,群益金鼎證券股份有限公司,台北市大安區敦化南路二段97號B2,02-27035000,CAMELLIA,04-7810000,董事長,30826319,http://www.camelliametal.com
安侯建業聯合會計師事務所,"No.810, Fuxing W. Rd.Kaohsiung City 82547, Taiwan (R.O.C.)",蘇彥達,許振隆,杜泰源,世豐,世豐螺絲股份有限公司,1150904,19730809,20170421,陳姿吟,shehfung@shehfung.com,07-6197589,陳駿彥,63516707,635167070,新台幣                 10.0000元,0,1,0,－ ,2065,10,陳秀珠,富邦綜合證券股份有限公司,台北市中正區許昌街17號11樓,02-23611300,SF,07-6116116,副總,31213886,https://www.shehfung.com/index.php?lang=cht
安侯建業聯合會計師事務所,"No.20,HuaxiRd.,Ta-Fa Industrial Dist.Kaohsiung County 831 Taiwan,R.O.C.",陳永祥,許振隆,陳光裕,世德,世德工業股份有限公司,1150904,19880129,20130924,黃雅鈴,invest@sumeeko.com,07-7887868,陳光裕,44449527,444495270,新台幣                 10.0000元,0,1,0,－ ,2066,05,陳怡樺,台新綜合證券(股)公司股務代理部,台北市中山區建國北路一段96號B1,02-25048125,SUMEEKO,07-7889168,財務主管,22546808,www.sumeeko.com
國富浩華聯合會計師事務所,"21 Chenggong 2nd St. Minxiong Township,Chia Yi County, Taiwan",李國銘,蔡淑滿,曹恆健,嘉鋼,嘉鋼精密工業股份有限公司,1150904,19740411,20140526,蕭景淑,abby@cysteel.com.tw,(05)2208033,陳龍芳,33858177,338581770,新台幣                 10.0000元,0,1,0,－ ,2067,05,陳龍芳,中國信託商業銀行代理部,台北市重慶南路一段83號5樓,(02)66365566,CYSTEEL,(05)2211411,總經理,66402912,http://www.cysteel.com.tw/
資誠聯合會計師事務所,"No. 58,Lane 110,Zhongxiao St.,Hu-Nei Dist., Kaohsiung City 82945,TaiwanKaohsiung 82945, Taiwan",林秀珊,葉芳婷,吳俊男,精湛,精湛光學科技股份有限公司,1150904,19940921,20181217,吳虹臻,ccm@ccm3s.com,07-6937772,許宏安,41782800,417828000,新台幣                 10.0000元,0,1,0,－ ,2070,05,許宏安,福邦證券股份有限公司,台北市中正區忠孝西路一段6號6樓,02-2383-6888,Ching Chan,07-6937937,總經理,89855649,http://www.ccm3s.com/
勤業眾信聯合會計師事務所,"No. 393, Shun'an Rd., Luzhu Dist.,Kaohsiung City 821010, Taiwan",劉承翰,劉裕祥,陳恆毅,雄順,雄順金屬股份有限公司,1150904,20100421,20230621,蘇靖婷,ir@ssmc.com.tw,07-6968123,郭穎謙,27500000,275000000,新台幣                 10.0000元,0,2,0,－ ,2073,10,陳以妙,永豐金證券(股)公司股務代理部,台北市中正區博愛路17號3樓,02-2381-6288,SSMC,07-6960166,董事長特助,24512261,www.ssmc.com.tw
勤業眾信聯合會計師事務所,"No.69 ,Yu-Shih Rd., Dajia Dist.Taichung City  437, Taiwan",蔣淑菁,劉力維,黃士峰,大甲,大甲永和機械工業股份有限公司,1150904,19770819,20070801,王淑瑜,yhmco@yhmco.com.tw,04-26815456,鍾志清,42325000,423250000,新台幣                 10.0000元,0,1,0,－ ,2221,20,鍾志清,凱基證券股份有限公司,台北市重慶南路一段2號5樓,02-2389-2999,DAJA、YHMCO　,04-26815496,總經理,56615319,http://www.yhmco.com.tw/
立本台灣聯合會計師事務所,"10 Shih Chien Street Kuan Tien Industrial ParkTainan City 720, Taiwan (R.O.C.)",程建憲,陶鴻文,呂萬賢,泰茂,泰茂實業股份有限公司,1150904,19910206,20130418,吳美玲,cti@ctico.com.tw,06-6990675,呂萬傑,68029605,680296050,新台幣                 10.0000元,0,1,0,－ ,2230,38,呂萬傑,兆豐證券股份有限公司,臺北市忠孝東路二段95號8樓,(02)3393-0898,C.T.I.,06-6991235,總經理,86070187,http://www.ctico.com.tw/
安永聯合會計師事務所,"No.24,Dinghu Rd.,Guishan TownshipTaoyuan County,Taiwan(R.O.C.)",李育儒,王瑄瑄,吳碣石,謚源,謚源實業股份有限公司,1150904,19870416,20141215,吳哲瑋,florence@tiy-motor.com.tw,(03)3973199,吳碣石,35878000,358780000,新台幣                 10.0000元,0,2,0,－ ,2235,05,王妤暄,統一證券股份有限公司股務代理部,台北市松山區東興路8號B1樓,(02)27478266,I YUAN,(03)3973868,發言人,22479934,www.tiy-motor.com
安侯建業聯合會計師事務所,"2F,NO.69,CIVIL BOULEVARD, Sec.5Taipei, Taiwan, R.O.C.",黃明宏,陳雅琳,許燈城,綠意,綠意開發股份有限公司,1150904,20010504,20090601,林秀娟,services@realycorp.com.tw,(02)8787-3416,許燈城,100000000,1000000000,新台幣                 10.0000元,0,1,0,－ ,2596,14,許志豪,福邦證券股份有限公司,台北市忠孝西路一段6號6樓,(02)2371-1658,ReaLy,(02)8787-8096,特別助理,12860948,www.realycorp.com.tw
資誠聯合會計師事務所,"2F., No.162, Sec. 2, Chang’an E. Rd., Zhongshan Dist.,Taipei City 104, Taiwan (R.O.C.)",支秉鈞,涂展源,林村田,大車隊,台灣大車隊股份有限公司,1150904,20050909,20121107,張天瑋,ir@taiwantaxi.com.tw,02-25160900,楊榮輝,59264956,592649560,新台幣                 10.0000元,0,1,0,－ ,2640,36,林念臻,凱基證券(股)公司-股務代理部,台北市中正區重慶南路一段2號5樓,02-23892999,55688,02-25160966,執行長,27767961,www.taiwantaxi.com.tw
資誠聯合會計師事務所,"3F, No.31, Haibian Rd., Lingya Dist.,Kaohsiung City 802, Taiwan (R.O.C.)",王駿凱,廖阿甚,蔡秉叡,正德,正德海運股份有限公司,1150904,19980929,20141009,申翔宇,kevincheng@franbo.com.tw,07-9697997,張寶安,330333744,3303337440,新台幣                 10.0000元,0,1,0,－ ,2641,15,鄭宇宏,福邦證券股務代理部,台北市中正區忠孝西路一段6號6樓,02-2383-6888,Franbo Lines,07-9697988,財務經理,16467798,www.franbo.com.tw
勤業眾信聯合會計師事務所,"4F, NO. 34, Rui Guang Rd.,Taipei, 11491 Taiwan, R. O. C.",劉力維,尤盟貴,顧城明,捷迅,捷迅股份有限公司,1150904,19840213,20160304,楊永華,soonestinv@soonest.com.tw,(02)8792-9658,孫鋼銀,35000000,350000000,新台幣                 10.0000元,0,1,0,－ ,2643,15,葉子菁,中國信託商業銀行代理部,台北市重慶南路一段83號5樓,(02)6636-5566,Soonest,(02)8792-9897,副總經理,12479610,http://www.soonest.com
資誠聯合會計師事務所,"7F., No. 30, Sec. 3, Bade Rd., Songshan Dist.Taipei City , Taiwan",李秀玲,林瑟凱,楊顯玲,全心投控,全心投資控股股份有限公司,1150904,19770408,20110329,夏美足,tiffany.sha@allmindholdings.com.tw,02-2570-9911,劉潔芝,87576000,875760000,新台幣                 10.0000元,0,1,0,－ ,2718,14,劉潔芝,元大證券股份有限公司,臺北市大安區敦化南路2段67號地下一樓,02-2586-3117,Allmind,02-2570-8800,總經理,12198180,www.allmindholdings.com.tw
資誠聯合會計師事務所,"7F., No. 161、163, Sec. 2, Minsheng E. Rd., Zhongshan Dist.Taipei City, Taiwan",田中玉,林秀珊,侯佑霖,燦星旅,台鋼燦星國際旅行社股份有限公司,1150904,20030224,20120224,待補,-,(02)2796-6168,羅俊英,69182500,691825000,新台幣                 10.0000元,0,1,60581954,－ ,2719,16,羅俊英,康和綜合證券股份有限公司,台北市信義區基隆路一段176號B1,02-8787-1118,Star Travel,(02)8183-3888,總經理,80355209,www.startravel.com.tw
安侯建業聯合會計師事務所,"13F.-6, No. 111, Huajiang 1st Rd., Banqiao Dist.,New Taipei City  220, Taiwan (R.O.C.)",池世欽,黃欣婷,賴運興,藝舍-KY,藝舍國際創新股份有限公司,1150904,20020115,20120529,林紫芳,investors@aagd.com.tw,(02)2254-6872,李宗錦,59656345,596563450,新台幣                 10.0000元,0,1,40570200,KY 開曼群島                                                    ,2724,20,賴運興,第一金證券股份有限公司,台北市大安區安和路一段27號六樓,(02)2563-5711,AAGD-KY,(02)2999-5968,董事長,28982799,https://www.aagd.com.tw/
勤業眾信聯合會計師事務所,"Oleander Way, 802 West Bay Road, P.O. Box 32052, Grand Cayman KY1-1208, CaymanCayman Island",張至誼,洪國田,吳伯超,雅茗-KY,雅茗天地股份有限公司,1150904,20091222,20141224,"張乃方, 詹文良",affairs@yummy-town.com,(02)2790-0601,江錫毅,37922454,379224540,新台幣                 10.0000元,0,1,3000000,KY 開曼群島                                                    ,2726,16,江錫毅,中國信託商業銀行股份有限公司,台北市中正區重慶南路一段83號5樓,(02)6636-5566,Yummy Town,(02)2790-0689,總經理,38634004,http://www.yummy-town.tw/
資誠聯合會計師事務所,"7F.-1, No.176, Jian 1st Rd., Zhonghe Dist.,New Taipei City 235, Taiwan (R.O.C.)",王菘澤,謝瑋莉,徐承義,瓦城,瓦城泰統股份有限公司,1150904,20000908,20120917,陳俐伶,IR@ttfb.com,(02)8227-1290,徐承義,43040783,430407830,新台幣                 10.0000元,0,1,0,－ ,2729,16,范嘉玲,富邦綜合證券(股)公司,台北市中正區許昌街17號11樓,02-23611300,TTFB,(02)8227-1280,財務長,70843031,http://www.ttfb.com
勤業眾信聯合會計師事務所,"No.98, Gaotie 9th Rd.,Zhubei City, Hsinchu County 302, Taiwan",劉怡青,張正修,王耀輝,六角,六角國際事業股份有限公司,1150904,20040216,20150120,黃如萍,lakaffamail@lakaffa.com.tw,03-6579630,王耀輝,46518570,465185700,新台幣                 10.0000元,0,1,0,－ ,2732,16,黃筱喻,永豐金證券(股)公司股務代理部,台北市博愛路17號3樓,(02)2381-6288,La Kaffa,(03)550-7750,投資人關係經理,80671769,http://www.lakaffagroup.com/
勤業眾信聯合會計師事務所,"2F-1, No.51, Hengyang Rd.,Taipei, Taiwan",蘇郁琇,彭詩玄,周昀生,易飛網,易飛網國際旅行社股份有限公司,1150904,19991222,20131226,張瑞琳,invest@ezfly.com,(02)6601-4600,周昀生,57259760,572597600,新台幣                 10.0000元,0,1,0,－ ,2734,16,周昀生,中國信託商業銀行代理部,台北市中正區重慶南路一段83號5樓,(02)6636-5566,Ezfly,(02)7725-0800,董事長,70464468,https://www.ezfly.com/
