上市日期,代理發言人,住址,傳真機號碼,公司代號,公司名稱,公司簡稱,出表日期,外國企業註冊地國,實收資本額,已發行普通股數或TDR原股發行股數,成立日期,普通股每股面額,營利事業統一編號,特別股,產業別,發言人,發言人職稱,私募股數,簽證會計師1,簽證會計師2,簽證會計師事務所,網址,編制財務報表類型,總機電話,總經理,股票過戶機構,英文簡稱,英文通訊地址,董事長,過戶地址,過戶電話,電子郵件信箱
19810410,洪松輝,桃園市平鎮區南勢里2鄰南東路410號,(02)2984-1154,1213,大西洋飲料股份有限公司,大飲,1150901,－ ,566226270,56622627,19650724,新台幣                 10.0000元,35012903,0,02,蘇芸樂,董事長,0,丁澤祥,蔡玉琴,南台聯合會計師事務所,http://applesidra.com.tw,1,(02)2982-0061,洪松輝,大西洋飲料股份有限公司,OCEANIC Bev.,"No. 410, Nandong Rd., 2nd Neighborhood, Nanshi Vil., Pingzhen Dist., Taoyuan CTaipei Hsien,Taiwan,R.O.C.",蘇芸樂,新北市三重區重陽路三段99號10樓,(02)2982-0061,c5012903@ms23.hinet.net
19870727,謝筱芬,台北市松江路八十七號十七樓,02-25064137,1215,台灣卜蜂企業股份有限公司,卜蜂,1150901,－ ,2947900980,294790098,19770822,新台幣                 10.0000元,36514783,0,02,劉明哲,特別助理,0,廖福銘,蔡蓓華,資誠聯合會計師事務所,http://www.cptwn.com.tw,1,02-25077071,許瑞通,中國信託商業銀行代理部,CPE,"17F., No. 87, Songjiang Rd.Taipei City, Taiwan 104",鄭武樾,台北市重慶南路一段八十三號五樓,02-66365566,service@cptwn.com.tw
19871228,&#20931;忠正,71001台南市永康區中正路301號,(06)253-2661,1216,統一企業股份有限公司,統一,1150901,－ ,56820154210,5682015421,19670825,新台幣                 10.0000元,73251209,0,02,陳國煇,財務長,0,田中玉,吳建志,資誠聯合會計師事務所,https://www.uni-president.com.tw,1,(06)253-2121,郭慶峰,統一綜合證券(股)公司股務代理部,UNI-PRESIDENT,"No.301, Zhongzheng Rd., Yongkang Dist.,Tainan City 71001, Taiwan (R.O.C.)",羅智先,10570台北市松山區東興路8號統一大樓地下室一樓,(02)2746-3797,jlian@mail.pec.com.tw
19891028,陳志展 陳冠豪 陳建華,嘉義縣民雄鄉工業二路11號,05-2216287,1217,愛之味股份有限公司,愛之味,1150901,－ ,4945133360,494513336,19710626,新台幣                 10.0000元,65534366,0,02,陳冠翰,董事長,0,黃鈴雯,李國銘,國富浩華聯合會計師事務所,www.agv.com.tw,1,05-2211521-4,陳冠豪,群益金鼎證券股份有限公司,AGV,"NO.11,Kung Yeh Second Rd.,Min Hsiong Industrial ZoneChiayi Hsien,Taiwan",陳冠翰,台北市大安區敦化南路二段97號地下二樓,02-27023999,YUEHCHU@mail.agv.com.tw
19891111,沈怡君,彰化縣田中鎮興工路6號,04-8758989,1218,泰山企業股份有限公司,泰山,1150901,－ ,4999990380,499999038,19501026,新台幣                 10.0000元,59661701,0,02,李淑惠,副總經理,0,黃子評,林素雯,安永聯合會計師事務所,www.taisun.com.tw,1,04-8742211,蔡國樑,元大證券股份有限公司,TAISUN,"No.6, Xinggong Rd., Tianzhong Township.Changhua County 520, Taiwan (R.O.C.)",劉偉龍,106045台北市大安區敦化南路二段67號B1,(02)25863117,taisunir@taisun.com.tw
19901201,陳祺炆,台中市沙鹿區沙田路45號,04-26358452,1219,福壽實業股份有限公司,福壽,1150901,－ ,3412383640,341238364,19550207,新台幣                 10.0000元,56192402,0,02,徐沛妤,協理,0,呂松裕,張鈞富,群智聯合會計師事務所,www.fwusow.com.tw,1,04-26362111,趙文強,凱基證券股份有限公司,FWUSOW,"45,Sha-Tyan,Sha-LuTaichung Taiwan R.O.C",洪堯昆,100502台北市重慶南路一段2號5樓,02-23892999,fwusow@fwusow.com.tw
19911120,張大慶,台北市中山區南京東路二段206號6樓,(02)2507-7020,1220,台榮產業股份有限公司,台榮,1150901,－ ,1770779440,177077944,19690313,新台幣                 10.0000元,03543210,0,02,周忠平,經理,0,柯俊輝,陳玉芳,立本台灣聯合會計師事務所,http://www.tairoun.com.tw/,1,(02)2506-9521,陳英凱,中國信託商業銀行代理部,TAIROUN,"6TH FL. NO. 206.  NANKING E. RD., SEC. 2Taipei,Taiwan,ROC",倍安利投資有限公司,台北市重慶南路一段83號5樓,(02)66365566,csr@tairoun.com.tw
19930927,郭中儀,台中市大肚區沙田路一段453號,(02)25071312,1225,福懋油脂股份有限公司,福懋油,1150901,－ ,2422683060,242268306,19860418,新台幣                 10.0000元,22102298,0,02,李建儀,財務資深經理,0,賴家裕,曾文誠,正風聯合會計師事務所,WWW.FOPCO.COM.TW,1,25073121,張志賓,群益金鼎證券股份有限公司,FOPCO,"3RD FL,150 NANJING EAST RD, SEC.2 TAIPEI TAIWAN R.O.CTAIPEI TAIWAN R.O.C.",晉懋投資股份有限公司(代表人吳星澄),台北市敦化南路二段97號地下二樓,02-27023999,cherry.lin@fopco.com.tw
19940409,李倍蓮,台北市內湖區瑞光路610號10樓,2706-7955,1227,佳格食品股份有限公司,佳格,1150901,－ ,9150895910,915089591,19860606,新台幣                 10.0000元,22102473,0,02,曹博睿,執行長,0,方涵妮,陳昭宇,勤業眾信聯合會計師事務所,https://www.sfworldwide.com/,1,2709-2323,邱子權,中國信託商業銀行代理部,SFC,"10F., No. 610, Ruiguang Rd., Neihu Dist.Taipei,Taiwan,R.O.C.",曹德風,台北市重慶南路一段83號5樓,(02)6636-5566,spokesperson1@sfworldwide.com
19760719,嚴文卿,臺北市南港區南港路一段209號10樓,(02)2786-3232,1229,聯華實業控股股份有限公司,聯華,1150901,－ ,17959606680,1795960668,19550720,新台幣                 10.0000元,11996904,0,02,林信宏,總經理,0,許淑敏,江曉苓,安侯建業聯合會計師事務所,https://www.lhicholdings.com/,1,(02)2786-1188,林信宏,中國信託商業銀行代理部,LHIHC,"10F., No. 209, Sec. 1, Nangang Rd., Nangang Dist.,Taipei, Taiwan, R.O.C.",苗豐強,台北市重慶南路一段83號5樓,(02)6636-5566,info@lhic.com.tw
19951102,陳姵岑,台北市迪化街一段148號,(02)25533479,1231,聯華食品工業股份有限公司,聯華食,1150901,－ ,3282999220,328299922,19700707,新台幣                 10.0000元,07569627,0,02,林志遠,財務處協理,0,劉明賢,張青霞,勤業眾信聯合會計師事務所,www.lianhwa.com.tw,1,(02)25534546,扶兆民,永豐金證券股份有限公司,Lian Hwa Foods,"148 TI HWA STREET SEC.1,Taipei,Taiwan,R.O.C",李開源,台北市博愛路17號3樓,(02)23816288,tomlin@lianhwa.com.tw
19960209,陳冠州,台南市官田區二鎮里工業西路32號,06-698-5530,1232,大統益股份有限公司,大統益,1150901,－ ,1599749150,159974915,19820524,新台幣                 10.0000元,20927014,0,02,陳昭良,總經理,0,徐惠榆,葉芳婷,資誠聯合會計師事務所,https://www.ttet.com.tw,1,06-698-4500,陳昭良,統一綜合證券股份有限公司,TTET,"32, Gongye West Road, Erzhen Village, Guantian District, Tainan City, TaiwanTAINAN CITY, TAIWAN",羅智先,台北市東興路8號地下一樓,02-2746-3797,finance@mail.ttet.com.tw
19990120,謝艾芸,台北市忠孝東路4段107號6樓,02-27403035,1233,天仁茶業股份有限公司,天仁,1150901,－ ,905919480,90591948,19751211,新台幣                 10.0000元,18559415,0,02,王華榮,營運部品牌策略副總,0,陳智忠,李育儒,安永聯合會計師事務所,http://www.tenren.com.tw/,1,02-27765580,陳中智,元大證券股份有限公司,Ten Ren,"6F. NO.107,SEC 4, Chung Hsiao East Road,Taipei, Taiwan, ROC",李建德,臺北市大安區敦化南路2段67號地下一樓,02-25865859,chafortea@tenren.com.tw
19990312,沈榮宗,台北市大安區信義路四段296號3樓,(02)2755-2119,1234,黑松股份有限公司,黑松,1150901,－ ,4018710940,401871094,19691213,新台幣                 10.0000元,20651901,0,02,杜居燦,財務處處長,0,翁博仁,蔡宗遠,勤業眾信聯合會計師事務所,www.heysong.com.tw,1,(02)2706-2191,張智鈞,宏遠證券股份有限公司股務代理部,HEY SONG,"3F. No. 296, Sec. 4, Xinyi Rd., Da’an Dist.,Taipei City 106427, Taiwan (R.O.C.)",張斌堂,台北市大安區信義路四段236號3樓,(02)7719-8899,heysong@heysong.com.tw
20000911,藍志仁,高雄市仁武區高楠公路10號,07-3425694,1235,興泰實業股份有限公司,興泰,1150901,－ ,1885778360,188577836,19721115,新台幣                 10.0000元,85617982,0,02,王麗雯,會計主管,0,詹定勳會計師,黃珮樺會計師,聯捷聯合會計師事務所,www.goldenbrand.com.tw,1,07-3425301-5,藍志仁,國票綜合證券股份有限公司,ST,10 KAO-NANG HIGHWAYJEN-WUH KAOHSIUNG TAIWAN R.O.C.,美安生化科技股份有限公司(代表人楊淑樺),105411台北市松山區南京東路五段188號15樓,02-25288988,shintailtd@gmail.com
20010917,許士彬,新北市新店區北新路一段86號20樓之6,(02)29180706,1236,宏亞食品股份有限公司,宏亞,1150901,－ ,866740080,86674008,19760614,新台幣                 10.0000元,34106066,0,02,許士彬,總經理特助,0,徐榮煌,劉榮進,安永聯合會計師事務所,https://www.hunya.com.tw,1,(02)29180786,張云綺,福邦證券股份有限公司,Hunya,"20F.-6, No.86, Sec. 1, Beixin Rd.,Xindian Dist., New Taipei City 23147",張云綺,台北市中正區忠孝西路一段6號6樓,(02)2383-6888,hunya.com.tw
20160317,陳怡如,"Suite 102, Cannon Place, P.O. Box 712, North Sound Rd.",512-57515503,1256,鮮活控股股份有限公司,鮮活果汁-KY,1150901,KY 開曼群島                                                    ,357813780,35781378,20100112,新台幣                 10.0000元,37759808,0,02,吳明憲,董事,0,呂宜真,張至誼,勤業眾信聯合會計師事務所,https://www.sunjuice.com/,1,512-57515501,黃薰毅,兆豐證券股份有限公司股務代理部,Sunjuice,"Suite 102, Cannon Place, P.O. Box 712, North Sound Rd.Grand Cayman, KY1-9006",黃國晃,台北市忠孝東路二段95號1樓,02-3393-0898,ky@sunjuice.com
19640727,簡嘉宏,高雄市仁武區水管路100號,(02)2717-8108,1301,台灣塑膠工業股份有限公司,台塑,1150901,－ ,63657407810,6365740781,19541105,新台幣                 10.0000元,75708007,0,03,林勝冠,總經理,0,郭欣頤,張肇文,安侯建業聯合會計師事務所,http://www.fpc.com.tw,1,(02)2712-2211,林勝冠,本公司股務組,FPC,"(A1-11F) No.380, Section 6, Nanjing E. RdTaipei, Taiwan, R.O.C.",郭文筆,台北市內湖區南京東路六段380號10樓,(02)2718-9898,formosa@fpc.com.tw
19671115,彭福榮,台北市內湖區南京東路六段380號(A1)7樓,(02)27178533,1303,南亞塑膠工業股份有限公司,南亞,1150901,－ ,79308215890,7930821589,19580822,新台幣                 10.0000元,75370905,0,03,鄒明仁,總經理,0,郭欣頤,陳俊光,安侯建業聯合會計師事務所,http://www.npc.com.tw,1,(02)27122211,鄒明仁,本公司股務組,NPC,"7F, No. 380, Sec. 6, Nanjing E. Rd., Neihu Dist., Taipei City(A1)Taipei, Taiwan, R.O.C.",吳嘉昭,台北市內湖區南京東路六段380號10樓,(02)27189898,nanya@npc.com.tw
19720520,周澤宜,台北市內湖區基湖路37號12樓,02-26599524,1304,台灣聚合化學品股份有限公司,台聚,1150901,－ ,11887635000,1188763500,19650526,新台幣                 10.0000元,11917107,0,03,吳銘宗,業務副總經理,0,陳俊宏,張正修,勤業眾信聯合會計師事務所,www.usife.com.tw,1,02-87516888,吳培基,本公司股務部,USI,"12TH FLOOR, NO. 37 JI-HU ROAD, NEI-HU DISTRICTTAIPEI 114, TAIWAN, R.O.C.",吳亦圭,台北市內湖區內湖路一段120巷17號6樓,02-26503773,mtwu@usig.com
19730305,黃俊閔,台北市內湖區基湖路37號12樓,(02)2659-9516,1305,華夏海灣塑膠股份有限公司,華夏,1150901,－ ,5810504940,581050494,19640429,新台幣                 10.0000元,11686106,0,03,吳建興,營業處處長,0,張正修,劉怡青,勤業眾信聯合會計師事務所,https://www.cgpc.com.tw,1,(02)8751-6888,胡吉宏,本公司股務部,CGPC,"12th Floor , NO.37 , Ji-Hu Rd. Nei-Hu DistrictTaipei, Taiwan, R.O.C.",吳亦圭,台北市內湖區內湖路一段120巷17號6樓,(02)2650-3773,jhwu@usig.com
19851123,林信宏,高雄市三民區通化街120號,(07)3711940,1307,三芳化學工業股份有限公司,三芳,1150901,－ ,3978181260,397818126,19730616,新台幣                 10.0000元,83387850,0,03,李禮權,總監,0,王騰葦,劉承翰,勤業眾信會計師事務所,https://www.sanfang.com/zh/,1,(07)3712111,林至逸,中國信託代理部,SAN FANG,"402 FENGJEN RD.,JENWU SHIANG,KAOSHIUNG,TAIWAN",林孟經,台北市重慶南路一段83號5樓,(02)6636-5566,jui@sanfang.com.tw
19860620,張勝川,高雄市林園區工業一路3號,(02)2659-9553,1308,亞洲聚合股份有限公司,亞聚,1150901,－ ,5937439190,593743919,19770125,新台幣                 10.0000元,20747385,0,03,黃克名,業務處處長,0,劉怡青,莊碧玉,勤業眾信聯合會計師事務所,https://www.apc.com.tw/,1,(02)8751-6888,吳培基,亞洲聚合股份有限公司股務部,APC,"NO.3,INDUSTRIAL 1ST RD., LINYUAN DIST.,KAOHSIUNG, TAIWAN, 832 ROC",吳亦圭,台北市內湖區內湖路一段120巷17號6樓,(02)2650-3773,gltzeng@usig.com
19860627,陳錫明,台北市內湖區基湖路37號12樓,(02)2659-9504,1309,台達化學工業股份有限公司,台達化,1150901,－ ,3975868480,397586848,19600406,新台幣                 10.0000元,11893409,0,03,黃俊豪,協理,0,陳俊宏,劉怡青,勤業眾信聯合會計師事務所,http://www.ttc.com.tw,1,(02)8751-6888,吳培基,台達化學工業股份有限公司股務部,TTC,"12th Floor, No.37, Ji-Hu Rd.,Taipei 114,Taiwan,R.O.C.",吳亦圭,台北市內湖區內湖路一段120巷17號6樓,(02)2650-3773,chunhao@usig.com
19870806,陳明男,台北市中正區羅斯福路一段六號八樓之一,23960755,1310,台灣苯乙烯工業股份有限公司,台苯,1150901,－ ,5278697640,527869764,19791116,新台幣                 10.0000元,20844865,0,03,呂政欣,協理,0,尹元聖,吳麟,安侯建業聯合會計師事務所,http://www.smct.com.tw/,1,02-23966007,仲崇國,康和綜合證券股份有限公司,T.S.M.C.,"8F-1, No. 6, Sec. 1, Roosevelt Rd., Taipei City , TaiwanTaipei,Taiwan",林文淵,台北市信義區基隆路一段176號B1,02-8787-1118,investors@mail.smct.com.tw
19881221,薛鴻敏,臺北市敦化北路135號8樓,(02)2545-8755,1312,國喬石油化學股份有限公司,國喬,1150901,－ ,15266203280,1506620328,19730925,新台幣                 10.0000元,04212250,20000000,03,沈美佑,協理,0,吳政諺,連淑凌,安侯建業聯合會計師事務所,http://www.gppc.com.tw,1,(02)2175-4567,曾嘉雄,凱基證券(股)公司代理部,GPPC,"8F., No. 135, Dunhua N. Rd., Songshan Dist.,TAIPEI, TAIWAN  R.O.C.",邱德馨,台北市重慶南路一段2號5 樓,(02)2389-2999,gppc@gppc.com.tw
19890327,徐桂梅,台北市南港區南港路一段209號A棟9樓,(02)26515818,1313,聯成化學科技股份有限公司,聯成,1150901,－ ,13308461070,1330846107,19760814,新台幣                 10.0000元,04748660,0,03,張嘉麟,專案經理,0,劉建良,王儀雯,勤業眾信聯合會計師事務所,http://www.upc.com.tw,1,(02)26517889,畢淑蒨,中國信託商業銀行代理部,UPC,"9F., Building A, No. 209 NanGang Rd., Sec. 1, NanGang Dist., Taipei, 115,Taiwan, R.O.C",苗豐強,台北市重慶南路一段83號5F,(02)6636-5566,ir@upc.com.tw
19910712,李建憲、陳台彰,高雄市大社區經建路1號,07-3513642,1314,中國石油化學工業開發(股)公司,中石化,1150901,－ ,37848501300,3784850130,19690708,新台幣                 10.0000元,03084741,0,03,陳穎俊,總經理(代理),0,陳光慧,楊子陞,信永中和會計師事務所,www.cpdc.com.tw,1,07-3513521,陳穎俊(代理),本公司股務室,CPDC,"No. 1, Jingjian Road, Dashe DistrictKaohsiung, Taiwan, R. O. C.",葛樹人,台北市松山區東興路12號3樓,02-89782589,investors@cpdc.com.tw
19920509,陳明哲,台中市西屯區工業區35路51號,04-23595557,1315,達新工業股份有限公司,達新,1150901,－ ,990990000,99099000,19661024,新台幣                 10.0000元,51059101,0,03,賴耿民,副總經理,0,張福郎,林志隆,國富浩華聯合會計師事務所,www.tahhsin.com.tw,1,04-23595511,陳以千,中國信託商業銀行(股)公司代理部,TAH HSIN,"NO.51, 35TH RD.,TAICHUNG INDUSTRIAL PARK ,TAICHUNG ,TAIWAN, R.O.C",吳子聰,台北市重慶南路一段83號5樓,02-66365566,thst@mail.tahhsin.com.tw
19921015,朱麗娟,台南市安平區永華路二段248號20樓之6,(06)2988311,1316,上曜建設開發股份有限公司,上曜,1150901,－ ,4016461500,401646150,19791211,新台幣                 10.0000元,73654033,0,14,郭育政,財務部副總經理,2570000,許振隆,高鈺倫,安侯建業聯合會計師事務所,www.sunyad.com.tw,1,(06)2988318,曾鵬光,元大證券股份有限公司,SUN  YAD,"20F.-6, No.248, Sec. 2, Yonghua RdAnping Dist., Tainan City 708, Taiwan",張祐銘,臺北市大安區敦化南路2段67號地下一樓,(02)2586-5859,sunyad_101@yahoo.com.tw
19941212,洪櫻芬,台南市安和路二段98號,06-3566055,1319,東陽實業廠股份有限公司,東陽,1150901,－ ,5914770680,591477068,19671030,新台幣                 10.0000元,68326665,0,12,許芳華,助理副總經理,0,胡子仁,洪國森,安永聯合會計師事務所,WWW.TYG.COM.TW,1,06-3560511,吳永祥,中國信託商業銀行代理部,TYG,"98 AN HO ROAD.,SEC,2TAINAN,TAIWAN,R,O,C",吳永茂,台北市重慶南路一段83號5F,02-66365566,15469@tyg.com.tw
19990126,鄭有峰,"台北市莒光路310號5,6樓",(02)23027464,1321,大洋塑膠工業股份有限公司,大洋,1150901,－ ,2272282680,227228268,19650607,新台幣                 10.0000元,15024509,0,03,邱俊福,經理,0,余聖河,羅瑞芝,安侯建業聯合會計師事務所,www.opc.com.tw,1,(02)23062131,陳欽明,凱基證券(股)公司股務代理部,OPC,"5F,310 CHUKWANG ROADTAIPEI,TAIWAN,R.O.C",陳欽明,台北市重慶南路一段2號5樓,(02)23148800,mauwau@opc.com.tw
20000911,蔡崇誠,台南市仁德區勝利路88號,06-2705088,1323,永裕塑膠工業股份有限公司,永裕,1150901,－ ,912745540,91274554,19730402,新台幣                 10.0000元,68192103,0,03,郭錦添,副總經理,0,葉芳婷,徐惠榆,資誠聯合會計師事務所,www.yonyu.com.tw,1,06-2793711,王威程,凱基證券股份有限公司,YONYU,"No. 88, Shengli Rd., Rende Dist.Tainan City 717018, Taiwan (R.O.C.)",王威程,台北市重慶南路一段2號5樓,02-23892999,kct3232@yonyu.com.tw
20000911,曾嬿妤,台北市中山區南京東路3段61號7樓,(02)2507-0226,1324,地球綜合工業股份有限公司,地球,1150901,－ ,751218820,75121882,19641208,新台幣                 10.0000元,07147916,0,03,張雅琪,財務部部長,0,徐榮煌,楊弘斌,安永聯合會計師事務所,https://www.globetape.com,1,(02)2506-6666,黃林慶,永豐金證券股份有限公司,GLOBE TAPE,"7F.NO.61.SECTION 3,NANKING E ROADTAIPEI TAIWAN R.O.C.",鈞鼎投資股份有限公司(代表人張德照),台北市中正區博愛路17號3樓,02-23816288,ir@globetape.com.tw
20000911,廖淑姬,台北市林森北路372號10樓,(02)25374473,1325,恒大股份有限公司,恆大,1150901,－ ,852811980,85281198,19621014,新台幣                 10.0000元,11455800,0,03,周壽祿,協理,0,薛峻泯,陳昭伶,勤業眾信聯合會計師事務所,www.uk.com.tw,1,(02)25119161,黃美慧,中國信託商業銀行代理部,UK,"10F, 372, LIN SHEN N. ROADTAIPEI, TAIWAN, R.O.C.",黃美慧,台北市重慶南路一段83號5樓,(02)66365566,uk4409@ms34.hinet.net
19841220,黃國賢,彰化市中山路3段359號,(02)27133229,1326,台灣化學纖維股份有限公司,台化,1150901,－ ,58611862910,5861186291,19650305,新台幣                 10.0000元,58650902,0,03,呂文進,總經理,0,阮呂曼玉,徐聖忠,資誠聯合會計師事務所,http://www.fcfc.com.tw,1,(02)27122211,呂文進,本公司股務組,FCFC,"10F., No.388, Sec.6, Nanjing E. Rd.Taipei, Taiwan, R.O.C",洪福源,台北市內湖區南京東路六段380號10樓,(02)27189898,fcfc@fcfc.com.tw
20110817,丁華雄,高雄市苓雅區四維四路190號12樓之2,(07)2696099,1337,亞洲塑膠再生資源控股有限公司,再生-KY,1150901,KY 開曼群島                                                    ,2689547290,268954729,20100108,新台幣                 10.0000元,26068617,0,03,王維民,財務協理,0,林兆民,史岱平,德昌聯合會計師事務所,http://asia-recycle.com,1,(07)2696099,丁金礦,元大證券股份有限公司股務代理部,Asia Plastic,"12F.-2, No. 190, Siwei 4th Rd.Lingya Dist.,Kaohsiung City 802 Taiwan",丁金山,台北市大安區敦化南路二段67號地下1樓,(02)2586-5859,weimin831@gmail.com
20121219,黃建中,廣東省東莞市厚街鎮橋頭第三工業區,0769-85903818,1338,廣華控股有限公司,廣華-KY,1150901,KY 開曼群島                                                    ,838400000,83840000,20091208,新台幣                 10.0000元,26594386,0,12,邱守瑞,財務協理,0,陳宜君,江曉苓,安侯建業聯合會計師事務所,https://www.hiroca.co/,1,0769-89278888,黃建中,兆豐證券股份有限公司股務代理部,Hiroca,"3rd Industrial Zone, Qiaotou, Houjie TownDongguan City, Guangdong Province, PRC",余澤民,台北市忠孝東路二段95號3樓,02-33930898,hiroca@hirosawa.com.cn
20120424,王淑慧,彰化縣鹿港鎮興業路8號,(04)7813209,1339,昭輝實業股份有限公司,昭輝,1150901,－ ,741238750,74123875,19860307,新台幣                 10.0000元,22078327,0,12,劉淑梅,副總經理,0,王玉娟,賴志維,資誠聯合會計師事務所,http://www.yccco.com.tw,1,(04)7810781,林睿澤,統一綜合證券股份有限公司,Y.C.C.,"8, Xingye Rd., Lukang TownChung Hua Hsien, Taiwan ., R.O.C.",禾翰投資股份有限公司,台北市松山區東興路八號地下一樓,02-27463797,ycc888@yccco.com.tw
